Address,Function,valid,Pwr On,read/,READ,WRITE,DISPLAY,Function 
32 bit HEX,Name,data,Default,write,ONLY,ONLY,TAB,Description
0x00100000,Control register,D[15..0],N/A,R/W,FALSE,FALSE,MAIN,General FPGA control/status register. See breakout of status bits below
0x00200000,HDMI Status,D[15..0],N/A,R,TRUE,FALSE,MAIN,Status bits that pertain to the HDMI interface between BADs
0x00300000,Set FLASH to binary page size,N/A,N/A,W,FALSE,TRUE,EXPERT,Permanently converts Atmel SPI Flash from 528 bytes per page to 512 bytes per page. Must power down FLASH for this to take effect
0x00400000,Deserializer IO RESET,N/A,N/A,W,FALSE,TRUE,EXPERT,"Resets the deserializer IO circuit. Write only, should only need this at power up if at all. Have not found the need for this feature."
0x00500000-0x00500004,"BITSLIP CH0-3, AUTO BITSLIP",N/A,N/A,R/W,FALSE,FALSE,EXPERT,Bumps the serdes receiver once for each write; read back frame aligned status
0x00600000-0x00600003,VGA_DAC_CH0-3,D[11..0],N/A,W,FALSE,TRUE,EXPERT,Directly writes the 12 bit DAC value to the chosen VGA GAIN DAC
0x00700000-0x00700003,ADC_REG_I2C_CNTRL_0-3,D[15..0],N/A,R/W,FALSE,FALSE,EXPERT,"Upper 8 bits are serial interface address, lower 8 bits are data (see below)"
0x00800000-0x0080001F,BIAS_OFFSET_DAC_CH0-31,D[9..0],0x000,R/W,FALSE,FALSE,BIAS,"Directly writes the 10 bit DAC value to the chosen BIAS OFFSET DAC. Read is only the current register value, not necessarily the DAC setting."
0x00900000-0x0090FFFF,MAC_INTERFACE,D[15..0],0x0000,R/W,TRUE,FALSE,EXPERT,64K register mapping of the ASIX AX88180
0x00A00000,BIAS_DAC,D[7..0],0x00,W,FALSE,TRUE,EXPERT,"Set the BIAS DAC; $FF is the lowest setting, while $01 is the highest. $00 is off. Range is set with ext resistors (curr 20V-60V)"
0x00B00000,BIAS_VMON,D[15..0],0x00,R,TRUE,FALSE,EXPERT,Read current value of bias voltage. 16 bit ADC.
0x00C00000,BIAS_IMON,D[15..0],0x00,R,TRUE,FALSE,EXPERT,Read current value of current bias. 16 bit ADC.
0x00D00000,BIAS_NUM_AVG,D[4..0],0x0,R/W,FALSE,FALSE,MAIN,Number of averaged bias monitor readings for both ADCs. Actual number of averages is 2^n of this value (0 to 7). Bit 4 enables bias monitoring.
0x01000000,STATUS REGISTER 1,D[15..0],0x00,R,TRUE,FALSE,EXPERT,Various status bits. See Below.
0x01100200,DEBUG MEMORY INDEX,D[8..0],,,,,,reset by writing to this location
0x01100000 - 0x011001FF,DEBUG MEMORY,D[15..0],,,,,,
0x01200000,HDMI COMM EN,D[0],0x00,R/W,TRUE,FALSE,EXPERT,set this to one on the master to enable the HDMI communication chain (clock locking not effected by this enable)
0x02100000,ADC_STANDBY,D[0],N/A,R/W,FALSE,FALSE,EXPERT,Directly put all four ADCs into standby mode
0x02200000,ADC_POWERDN,D[0],N/A,R/W,FALSE,FALSE,EXPERT,Directly put all four ADCs into power down mode
0x02300000,REG_EN,D[0],N/A,R/W,FALSE,FALSE,EXPERT,Directly put all four ADCs into power down mode
0x02400000,REG_XSHTDN,D[0],N/A,R/W,FALSE,FALSE,EXPERT,Directly put all four ADCs into power down mode
